         table_name         |           column_name           |        data_type         
 etl_jobs                   | records_extracted               | bigint
 etl_jobs                   | records_loaded                  | bigint
 etl_jobs                   | error_summary                   | text
 etl_jobs                   | config_snapshot                 | jsonb
 etl_raw_payloads           | raw_id                          | uuid
 etl_raw_payloads           | job_id                          | uuid
 etl_raw_payloads           | run_id                          | uuid
 etl_raw_payloads           | endpoint_key                    | text
 etl_raw_payloads           | window_from                     | date
 etl_raw_payloads           | window_to                       | date
 etl_raw_payloads           | request_url                     | text
 etl_raw_payloads           | request_params                  | jsonb
 etl_raw_payloads           | http_status                     | integer
 etl_raw_payloads           | payload                         | jsonb
 etl_raw_payloads           | payload_bytes                   | integer
 etl_raw_payloads           | content_type                    | text
 etl_raw_payloads           | created_at                      | timestamp with time zone
 etl_schema_migrations      | filename                        | text
 etl_schema_migrations      | applied_at                      | timestamp with time zone
 etl_sync_state             | id                              | smallint
 etl_sync_state             | mode_hint                       | text
 etl_sync_state             | earliest_data_date              | date
 etl_sync_state             | last_successful_sync_date       | date
 etl_sync_state             | last_successful_sync_at         | timestamp with time zone
 etl_sync_state             | backfill_complete               | boolean
 etl_sync_state             | updated_at                      | timestamp with time zone
 file_registry              | file_id                         | uuid
 file_registry              | source_endpoint                 | text
 file_registry              | parent_type                     | text
 file_registry              | parent_id                       | text
 file_registry              | source_field                    | text
 file_registry              | mime_hint                       | text
 file_registry              | download_status                 | text
 file_registry              | local_path                      | text
 file_registry              | downloaded_at                   | timestamp with time zone
 file_registry              | download_error                  | text
 file_registry              | download_attempts               | integer
 file_registry              | ingested_at                     | timestamp with time zone
 file_registry              | updated_at                      | timestamp with time zone
 fpb_accused                | id                              | bigint
 fpb_accused                | crime_id                        | text
 fpb_accused                | person_id                       | text
 fpb_accused                | fir_reg_num                     | text
 fpb_accused                | ps_code                         | text
 fpb_accused                | fir_num_query                   | text
 fpb_accused                | full_name                       | text
 fpb_accused                | surname                         | text
 fpb_accused                | alias                           | text
 fpb_accused                | age                             | text
 fpb_accused                | dob                             | text
 fpb_accused                | sex                             | text
 fpb_accused                | phone_number                    | text
 fpb_accused                | date_of_arrest                  | text
 fpb_accused                | date_fingerprinted              | text
 fpb_accused                | fp_unit                         | text
 fpb_accused                | slip_type                       | text
 fpb_accused                | aadhaar_or_other_id             | jsonb
 fpb_accused                | arrest_details                  | jsonb
 fpb_accused                | permanent_address               | jsonb
 fpb_accused                | present_address                 | jsonb
 fpb_accused                | physical_features               | jsonb
 fpb_accused                | payload                         | jsonb
 fpb_accused                | ingested_at                     | timestamp with time zone
